98,4,29,150,163,114,185,73,55,25,40,71,83,32,188
0.6615,0.5989,0.4514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1431,0.1082,0.0953,0.0000,0.3697,0.4027,0.3749,0.3873,0.4116,0.4471,0.0000,0.0000,0.0000,0.0000,0.0000
0.2916,0.3613,0.1669,0.2621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3713,0.3713,0.3712,0.3713,0.3693
0.3606,0.2409,0.9011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4958,0.7134,0.4951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4673,0.4844,0.1048,0.7321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7243,0.0000,0.6895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5982,0.6431,0.4782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6064,0.6397,0.4722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2846,0.3522,0.1661,0.2626,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3772,0.3769,0.3765,0.3772,0.3606
0.2997,0.3718,0.1678,0.2613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3644,0.3646,0.3650,0.3643,0.3793
0.6023,0.6414,0.4751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6569,0.5957,0.4623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2962,0.3673,0.1674,0.2617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3674,0.3675,0.3677,0.3674,0.3749
0.7293,0.0000,0.6842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
